Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
05-03-2026 ; 15:47:00,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,31,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:47:40,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,31,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:48:20,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,32,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:49:00,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,35,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:49:40,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,32,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:50:20,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,31,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:51:00,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,30,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:51:40,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,30,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:52:20,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,29,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:53:00,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,29,3276,3276,3276,3276,3276,3276,3276
05-03-2026 ; 15:53:40,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,39,3276,3276,3276,3276,3276,3276,3276
