Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11
13-04-2026 ; 17:55:16,40.6,36.97,40.54916,40.6,40.8,40.9,40.8,40.9,40.7,40.8,40.8,40.4
13-04-2026 ; 17:56:00,40.6,36.97,40.54916,40.6,40.7,40.9,40.8,40.9,40.7,40.8,40.8,40.4
13-04-2026 ; 17:57:00,40.6,36.97,40.54916,40.6,40.7,40.9,40.8,40.9,40.7,40.8,40.8,40.4
13-04-2026 ; 17:58:00,40.6,36.97,40.54916,40.6,40.7,40.9,40.8,40.9,40.7,40.8,40.8,40.4
13-04-2026 ; 17:59:00,40.6,36.97,40.54916,40.6,40.7,40.8,40.8,40.9,40.7,40.8,40.8,40.4
13-04-2026 ; 18:00:00,40.6,36.97,40.54916,40.6,40.7,40.8,40.8,40.9,40.7,40.7,40.8,40.4
13-04-2026 ; 18:01:00,40.6,36.97,40.54916,40.6,40.7,40.8,40.7,40.9,40.7,40.7,40.8,40.3
13-04-2026 ; 18:02:00,40.5,36.97,40.54916,40.6,40.7,40.8,40.7,40.9,40.7,40.7,40.8,40.3
13-04-2026 ; 18:03:00,40.5,36.97,40.54916,40.6,40.7,40.8,40.7,40.9,40.7,40.7,40.8,40.3
13-04-2026 ; 18:04:00,40.5,36.97,40.54916,40.6,40.7,40.8,40.7,40.9,40.6,40.7,40.8,40.3
13-04-2026 ; 18:05:00,40.5,36.97,40.54916,40.6,40.7,40.8,40.7,40.9,40.6,40.7,40.8,40.3
