Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
21-04-2026 ; 10:06:42,34.8,34.70,35.00,35,35.2,35.1,35.1,35.3,35.4,34.9,35.1,35.1,35.7,35.4,35.5,35.3,35.5,35.7,35.4,35.2,35.1,35,34.2,36.9
21-04-2026 ; 10:07:00,34.9,34.90,35.00,35,35.3,35.2,35.2,35.3,35.4,35,35.2,35.1,35.9,35.7,35.8,35.4,35.5,35.9,35.4,35.3,35.2,35,34.2,36.9
21-04-2026 ; 10:37:00,45.6,49.30,45.50,39.6,45.2,46,45.5,46.8,43.1,43.4,40.3,37.3,46.5,48.8,48.9,43.7,44.6,47.8,42.3,48.6,50.4,43.8,39.8,38.8
21-04-2026 ; 11:07:00,55.4,62.10,55.50,43.6,54.3,55.5,53.9,56.2,50.1,51.4,46.9,39.9,52.1,55.1,55,49.6,51.1,54.6,46.9,54.3,56.7,48.6,43,40.8
21-04-2026 ; 11:37:00,62.8,71.10,62.40,46.6,61.7,63,60.6,63.5,55.7,58,52.7,42.1,56.3,59.7,59.8,54.6,56.4,60.1,50.4,57.8,60.5,52,45.2,42.7
21-04-2026 ; 12:07:00,68,77.10,67.00,49.2,67,68.7,65.5,68.8,60.1,63.1,57.3,44,59.6,63.2,63.5,58.7,60.6,64.6,53.2,60.5,63.4,54.6,46.8,44
21-04-2026 ; 12:37:00,72.2,81.20,69.80,51.6,71.2,72.9,69.3,72.7,63.7,67,61,45.5,62.5,66,66.6,61.9,63.8,68.1,55.4,62.6,65.7,56.7,48.2,47.8
21-04-2026 ; 13:07:00,73.8,81.80,71.70,53.7,74.5,75.3,72.9,75.7,66.3,70.1,64.2,47.3,64.6,68.1,69,64.4,66.4,70.6,57.6,64.2,67.8,58.3,49.4,44.1
21-04-2026 ; 13:37:00,74.7,82.00,72.40,54.7,76.8,77.2,75,77.6,68.2,72.2,66.3,48.4,65.8,69.2,70.2,66.1,68,72.1,58.9,65.1,68.8,59.3,50.5,44.8
21-04-2026 ; 14:07:00,75.3,82.20,72.80,55.5,78,78.4,76.3,78.6,69.3,73.4,67.6,49.2,66.5,70,71,67.2,69,73,59.8,65.5,69.5,59.9,51.3,45.5
21-04-2026 ; 14:37:00,75.6,82.20,72.80,56.1,78.8,79.2,77,79.3,70,74.1,68.4,49.7,67,70.6,71.6,67.7,69.5,73.6,60.3,65.8,69.8,60.2,51.8,44.5
21-04-2026 ; 15:07:00,76,83.00,73.30,56.4,79.4,80,77.9,80.2,70.5,74.8,68.9,50.1,67.6,71.5,72.3,68.3,70.3,74.4,60.6,66.5,70.4,60.7,52.3,46.1
21-04-2026 ; 15:37:00,76.7,84.20,73.90,57,80.3,80.8,78.6,81.1,71.3,75.5,69.7,50.5,68.2,72.1,72.9,69,71,75.1,61.2,67,71,61.2,52.7,46.1
21-04-2026 ; 16:07:00,77.2,84.80,74.30,57.3,80.9,81.5,79.2,81.7,71.8,76.1,70.2,50.7,68.7,72.8,73.5,69.5,71.5,75.7,61.5,67.4,71.5,61.6,53,45.5
